2025-11-18 08:53:24 | GetComponentsByCategory | There is already an open DataReader associated with this Connection which must be closed first.
2025-11-18 08:53:24 | OnGet ComponentsPageModel | There is already an open DataReader associated with this Connection which must be closed first.
2025-11-18 08:53:28 | GetComponentsByCategory | There is already an open DataReader associated with this Connection which must be closed first.
2025-11-18 08:53:28 | OnGet ComponentsPageModel | There is already an open DataReader associated with this Connection which must be closed first.
2025-11-18 08:53:30 | GetComponentsByCategory | There is already an open DataReader associated with this Connection which must be closed first.
2025-11-18 08:53:30 | OnGet ComponentsPageModel | There is already an open DataReader associated with this Connection which must be closed first.
2025-11-18 08:57:13 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:17 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:21 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:22 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:24 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:26 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:31 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:33 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:34 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:45 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:49 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:51 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:53 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:55 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:57 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:57:59 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 08:58:01 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:00:37 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:00:57 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:01:13 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:01:18 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:01:43 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:01:49 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:02:22 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:02:35 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:02:36 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:04:53 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:05:10 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:05:13 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:05:26 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:05:31 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:13 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:20 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:22 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:28 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:32 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:45 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:55 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:06:59 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:00 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:02 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:04 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:07 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:08 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:14 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:30 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:44 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:07:51 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:08:13 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:08:14 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:08:26 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:08:48 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:08:50 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:09:03 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:09:05 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:11:48 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:11:52 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:11:53 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:11:54 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:11:56 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:18 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:20 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:21 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:22 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:28 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:32 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:36 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:42 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:45 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:50 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:12:52 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:13:01 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:13:04 | OnGet ComponentsPageModel | Загружено компонентов: 1
2025-11-18 09:13:08 | OnGet ComponentsPageModel | Загружено компонентов: 1
